Category,System Model,System Mfg,Part Mfg,Comments,Part Number,Part/Item Name,Condition,Listing Type,Request Type,Price,Quantity,Listing ID (Leave Blank to Add)
"CT","CT","","PHILIPS ","83952 5V MOTOR 150MA. PICKER","83953 5V","83952 5V MOTOR 150MA. PICKER","used","For Sale","","","1",
"CT","CT","","PHILIPS ","COSEL RI5U-5. PICKER","RI5U-6","COSEL RI5U-5. PICKER","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","LAMBDA Sirius CSM200 power supply with the part number J77001 and serial number S1032720045.. SIEMENS"," CSM200  J77002","LAMBDA Sirius CSM200 power supply with the part number J77001 and serial number S1032720045.. SIEMENS","used","For Sale","","","1",
"TUBE","TUBE","","SIEMENS","Megalix CAT 125/15/40/80-121GW (P/N 5764522) April 2011. ANGIOSTAR","Megalix CAT 125/15/40/80-121GW (P/N 5764522) April 2012","Megalix CAT 125/15/40/80-121GW (P/N 5764522) April 2011. ANGIOSTAR","used","For Sale","","","1",
"CT","CT","","TOSHIBA ",". TOSHIBA AQUILION 4","VRDU-TW/481",". TOSHIBA AQUILION 4","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","3073710. SIEMENS","3073710","3073710. SIEMENS","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","ICONOS D14 1P 3073710.. SIEMENS","3073710","ICONOS D14 1P 3073710.. SIEMENS","used","For Sale","","","1",
"CATH","CATH","","GE","Innova 4100 GE Medical Systems part with type number 2340608, manufactured in April 2007 in Bangalore, India.. GE","2340608","Innova 4100 GE Medical Systems part with type number 2340608, manufactured in April 2007 in Bangalore, India.. GE","used","For Sale","","","1",
"CATH","CATH","","GE","INNOVA 2100 with part numbers 2405242-2-005 and 5145096-2-002 visible on labels.. GE","2405242-2","INNOVA 2100 with part numbers 2405242-2-005 and 5145096-2-002 visible on labels.. GE","used","For Sale","","","1",
"CT","CT","","GE","ACDC 3001064-02 PS 540-1894. GE","ACDC 3001064-02 PS 540-1895","ACDC 3001064-02 PS 540-1894. GE","used","For Sale","","","1",
"CT","CT","",""," SIEMENS part, possibly related to balancing or measurement equipment, with model number 1P07393858 and also labelled with 'HOFMANN-Art.-NO. 900-5000'.","7393858"," SIEMENS part, possibly related to balancing or measurement equipment, with model number 1P07393858 and also labelled with 'HOFMANN-Art.-NO. 900-5000'.","used","For Sale","","","1",
"CT","CT","","SIEMENS","3815334 D553. SIEMENS","3815335 D553","3815334 D553. SIEMENS","used","For Sale","","","1",
"CT","CT","","SIEMENS","COSEL P100E-24. UNKNOWN","P100E-25","COSEL P100E-24. UNKNOWN","used","For Sale","","","1",
"X-RAY","X-RAY","","GE","2345237 2345236-2 DISPLAY BD. AMX4+","2345238 2345236-2","2345237 2345236-2 DISPLAY BD. AMX4+","used","For Sale","","","1",
"C-ARM","C-ARM","","PHILIPS","interface board interface board 452216700653/452216603274. PHILIPS","452216700653/452216603275","interface board interface board 452216700653/452216603274. PHILIPS","used","For Sale","","","1",
"X-RAY","X-RAY","","PHILIPS","452216321961 BRM CONSOLE 989601012341. ELEVA MD","452216321962 989601012341","452216321961 BRM CONSOLE 989601012341. ELEVA MD","used","For Sale","","","1",
"CT","CT","","","BLACK BOX Dual Speed Personal Mini Hub 8 Port, model number 724-746-5500, operating at 10/100 Mb/s."," 724-746-5500","BLACK BOX Dual Speed Personal Mini Hub 8 Port, model number 724-746-5500, operating at 10/100 Mb/s.","used","For Sale","","","1",
"C-ARM","C-ARM","","PHILIPS","Control Panel Control Panel 452230007221/E2412-51. PHILIPS","452230007221/E2412-52","Control Panel Control Panel 452230007221/E2412-51. PHILIPS","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","POWER CONTROL D822 SIEMENS MIRA MAX 10907641. SIEMENS MIRA","D822  10907642","POWER CONTROL D822 SIEMENS MIRA MAX 10907641. SIEMENS MIRA","used","For Sale","","","1",
"CATH","CATH","","GE","2385692-4 SMART AMPLIFIER. GE","2385692-5","2385692-4 SMART AMPLIFIER. GE","used","For Sale","","","1",
"NUCLEAR","NUCLEAR","","SIEMENS","10183346 detector. SYMBIAT2","10183346","10183346 detector. SYMBIAT2","used","For Sale","","","1",
"CATH","CATH","","GE","SUPERL L850B-332E83. GE"," L850B-332E84","SUPERL L850B-332E83. GE","used","For Sale","","","1",
"CT","CT","","TOSHIBA ","This is a circuit board, likely from medical equipment, with part number SAS: 5003048013170100 AND  555G301601G43000069J0A1 visible.. TOSHIBA AQUILION","SAS: 5003048013170100","This is a circuit board, likely from medical equipment, with part number SAS: 5003048013170100 AND  555G301601G43000069J0A1 visible.. TOSHIBA AQUILION","used","For Sale","","","1",
"CT","CT","","SIEMENS","SIEMENS medical equipment part with Model No. 10589591, likely a control or interface board.. SIEMENS","10589591","SIEMENS medical equipment part with Model No. 10589591, likely a control or interface board.. SIEMENS","used","For Sale","","","1",
"CT","CT","","PHILIPS","power supply  part number 459800298902 and serial number 75942-1123.. PHILIPS","459800298902","power supply  part number 459800298902 and serial number 75942-1123.. PHILIPS","used","For Sale","","","1",
"CT","CT","","PHILIPS ","medical equipment power supply unit with part number 453566503742 and manufacturing date 08/26/2020.. PHILIPS ","453566503742","medical equipment power supply unit with part number 453566503742 and manufacturing date 08/26/2020.. PHILIPS ","used","For Sale","","","1",
"CATH","CATH","","GE ","36004606 *. GE TILC","36004606","36004606 *. GE TILC","used","For Sale","","","1",
"C-ARM","C-ARM","","PHILIPS","Power Supply 23 CMII Spellman Power Supply 23 CMII Spellman DGM30P/366 (989601023421. PHILIPS"," DGM30P/366 989601023422","Power Supply 23 CMII Spellman Power Supply 23 CMII Spellman DGM30P/366 (989601023421. PHILIPS","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","8609364 MARCH 2007 HV TANK. ARISTOS","8609364","8609364 MARCH 2007 HV TANK. ARISTOS","used","For Sale","","","1",
"MRI","MRI","","HITACHI","circuit board with connectors and electronic components, bearing the model PDCNT2 and part number XN2003-1 B/0 PB0 L10.. HITACHI","PDCNT2  XN2003-2","circuit board with connectors and electronic components, bearing the model PDCNT2 and part number XN2003-1 B/0 PB0 L10.. HITACHI","used","For Sale","","","1",
"X-RAY","X-RAY","","SIEMENS","0477455 D51. ARISTOS","477456 D51","0477455 D51. ARISTOS","used","For Sale","","","1",
"MRI","MRI","","GE","MR450n MRI cable, marked with part number VC210088 CHN REV 1 and 5141979-2 3500MM.. GE","5141979-2","MR450n MRI cable, marked with part number VC210088 CHN REV 1 and 5141979-2 3500MM.. GE","used","For Sale","","","1",
"CATH","CATH","","SIEMENS","1167704 D641. SIEMENS","1167705 D641","1167704 D641. SIEMENS","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","Philips GEO Module WP, manufactured for Philips Medical Systems BV with PN 459800420151 and MFG'S PART #: 9375-00193-407 /A.. PHILIPS","459800420152  937500193407","Philips GEO Module WP, manufactured for Philips Medical Systems BV with PN 459800420151 and MFG'S PART #: 9375-00193-407 /A.. PHILIPS","used","For Sale","","","1",
"CT","CT","","PHILIPS","453567011231 GANTRY MOTION. BIGBORE","453567011231","453567011231 GANTRY MOTION. BIGBORE","used","For Sale","","","1",
"CT","CT","","GE","TANDBERG DATA TDC3660 DD. GE","TDC3660 DD","TANDBERG DATA TDC3660 DD. GE","used","For Sale","","","1",
"CATH","CATH","","GE","2279344-2 2279345 REV 2. INNOVA 2100IQ","2279344-2 2279345 REV 3","2279344-2 2279345 REV 2. INNOVA 2100IQ","used","For Sale","","","1",
"PET/CT","PET/CT","","SIEMENS","This is an ESD GmbH D31 PCI Rev. 1.1 circuit board with part numbers PCI9052 and BS8003.1 TA.. ESD GmbH","PCI9052 BS8003.1 TA.","This is an ESD GmbH D31 PCI Rev. 1.1 circuit board with part numbers PCI9052 and BS8003.1 TA.. ESD GmbH","used","For Sale","","","1",
"CT","CT","","SIEMENS","These are PHILIPS circuit boards, possibly for an imaging system, with part numbers including 7200-0025 and 1153517.. SIEMENS","1153517","These are PHILIPS circuit boards, possibly for an imaging system, with part numbers including 7200-0025 and 1153517.. SIEMENS","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","MW 2900P MEDIAWALL 2900 SPECTRUM 459800135971 IN B-CAB. FD10 R8","MW 2900P 2900  459800135972","MW 2900P MEDIAWALL 2900 SPECTRUM 459800135971 IN B-CAB. FD10 R8","used","For Sale","","","1",
"CATH","CATH","","PHILIPS ","Prodrive Technologies ICR I5 - Flex EP PC with part number 452209024511 and 6001-0911-3300.. PRODRIVE","452209024512 6001-0911-3300.","Prodrive Technologies ICR I5 - Flex EP PC with part number 452209024511 and 6001-0911-3300.. PRODRIVE","used","For Sale","","","1",
"CT","CT","","PHILIPS ",". PICKER","177144",". PICKER","used","For Sale","","","1",
"CT","CT","","GE","GE Medical Systems solid-state recirculating chiller with part number P/N 2210405-15.. GE","2210405-16","GE Medical Systems solid-state recirculating chiller with part number P/N 2210405-15.. GE","used","For Sale","","","1",
"CR/PRINTER","CR/PRINTER","","KODAK","5H1445 2661-646. KODAK CR975","5H1445 2661-647","5H1445 2661-646. KODAK CR975","used","For Sale","","","1",
"CT","CT","","SIEMENS","Siemens medical equipment part with model number 10186186 and part number 07B3 944 39.. SIEMENS Flash","10186187  07B3 944 39.","Siemens medical equipment part with model number 10186186 and part number 07B3 944 39.. SIEMENS Flash","used","For Sale","","","1",
"X-RAY","X-RAY","","GE","46-232786G2-B ROTEOR CONTROLER. AMX4+","46-232786G2-B ","46-232786G2-B ROTEOR CONTROLER. AMX4+","used","For Sale","","","1",
"MRI","MRI","","HITACHI","MR-QKC-83 KNEE COIL. APERTO","MR-QKC-84","MR-QKC-83 KNEE COIL. APERTO","used","For Sale","","","1",
"CATH","CATH","","PHILIPS","FD10 Perkins Electronics component with model number PKP-02721-001 and serial number H03016 EY28, featuring BNC output connectors.. PHILIPS"," PKP-02721-001 ","FD10 Perkins Electronics component with model number PKP-02721-001 and serial number H03016 EY28, featuring BNC output connectors.. PHILIPS","used","For Sale","","","1",
"PET/CT","PET/CT","","SIEMENS","This is an ADT PCI/U160M SCSI Controller card with part numbers ADT: ASC-29160-BULK-V and ADT: ASC-29160-BULK-V4.. ADT","ASC-29160-BULK-V ADT: ASC-29160-BULK-V4.","This is an ADT PCI/U160M SCSI Controller card with part numbers ADT: ASC-29160-BULK-V and ADT: ASC-29160-BULK-V4.. ADT","used","For Sale","","","1",
"CT","CT","","PHILIPS","S5000AL S5000PALR SERVER BOARD. BRILLIANCE CONSOLES","S5000AL S5000PALR","S5000AL S5000PALR SERVER BOARD. BRILLIANCE CONSOLES","used","For Sale","","","1",
"X-RAY","X-RAY","","PHILIPS ","PIXIUM 4600 100204 DETECTOR. PHILIPS DIGITAL DIAGNOST","PIXIUM 4600 100205","PIXIUM 4600 100204 DETECTOR. PHILIPS DIGITAL DIAGNOST","used","For Sale","","","1",
"TUBE","TUBE","","PHILIPS","Philips X-Ray Tube Housing Assembly, model MRC 200 0508 ROT-GS 1003, with serial number 68984M164342. Manufactured October 2019. PHILIPS","MRC 200 0508 ROT-GS 1004","Philips X-Ray Tube Housing Assembly, model MRC 200 0508 ROT-GS 1003, with serial number 68984M164342. Manufactured October 2019. PHILIPS","used","For Sale","","","1",
